age_Ga,Neukum,Cui2024,Yue2026,Neukum_plus_CE6L,Cui2024_plus_CE6L,Yue2026_plus_CE6L
1.0150000000000001,0.0008505700616625664,0.00077667802881179,0.0007487655086524612,0.0008951419250036352,0.0008292002584840364,0.0007644935486865116
1.02,0.0008547600638385402,0.000780504029868024,0.0007524540089875072,0.0008995514991293955,0.0008332849889755631,0.0007682595271322422
1.025,0.0008589500660912331,0.000784330030962953,0.0007561425093355215,0.0009039610735585234,0.0008373697194740229,0.0007720255055943408
1.03,0.00086314006842335,0.0007881560320979951,0.0007598310096970057,0.0009083706483007723,0.0008414544499796888,0.0007757914840734327
1.035,0.0008673300708376909,0.0007919820332746194,0.0007635195100724812,0.0009127802233662081,0.0008455391804928437,0.0007795574625701665
1.04,0.000871520073337155,0.0007958080344943497,0.0007672080104624897,0.0009171897987652216,0.0008496239110137826,0.0007833234410852159
1.045,0.0008757100759247434,0.0007996340357587648,0.0007708965108675934,0.0009215993745085364,0.0008537086415428117,0.0007870894196192802
1.05,0.0008799000786035633,0.000803460037069502,0.000774585011288377,0.0009260089506072221,0.0008577933720802495,0.0007908553981730858
1.055,0.0008840900813768311,0.000807286038428258,0.0007782735117254469,0.0009304185270727029,0.0008618781026264262,0.000794621376747386
1.06,0.0008882800842478771,0.0008111120398367925,0.0007819620121794338,0.0009348281039167715,0.0008659628331816861,0.0007983873553429639
1.065,0.000892470087220148,0.0008149380412969284,0.0007856505126509923,0.0009392376811515987,0.0008700475637463866,0.0008021533339606317
1.07,0.0008966600902972136,0.000818764042810557,0.0007893390131408028,0.0009436472587897473,0.0008741322943208989,0.000805919312601233
1.075,0.0009008500934827678,0.0008225900443796372,0.0007930275136495713,0.0009480568368441833,0.000878217024905609,0.0008096852912656433
1.08,0.0009050400967806364,0.0008264160460062011,0.0007967160141780321,0.0009524664153282905,0.0008823017555009183,0.000813451269954772
1.085,0.0009092301001947787,0.0008302420476923541,0.0008004045147269468,0.000956875994255882,0.0008863864861072435,0.0008172172486695629
1.09,0.0009134201037292948,0.0008340680494402798,0.0008040930152971077,0.0009612855736412158,0.0008904712167250185,0.0008209832274109959
1.095,0.000917610107388428,0.0008378940512522407,0.0008077815158893366,0.0009656951534990074,0.0008945559473546932,0.0008247492061800881
1.1,0.0009218001111765728,0.0008417200531305832,0.000811470016504488,0.0009701047338444463,0.000898640677996736,0.0008285151849778961
1.105,0.0009259901150982772,0.0008455460550777388,0.0008151585171434489,0.0009745143146932095,0.0009027254086516334,0.000832281163805516
1.11,0.0009301801191582503,0.0008493720570962287,0.0008188470178071411,0.000978923896061479,0.0009068101393198915,0.0008360471426640864
1.115,0.000934370123361367,0.0008531980591886661,0.0008225355184965214,0.0009833334779659557,0.0009108948700020355,0.0008398131215547888
1.12,0.0009385601277126745,0.0008570240613577605,0.0008262240192125847,0.0009877430604238787,0.0009149796006986118,0.0008435791004788506
1.125,0.0009427501322173972,0.0008608500636063197,0.0008299125199563632,0.0009921526434530403,0.0009190643314101884,0.0008473450794375453
1.1300000000000001,0.0009469401368809444,0.0008646760659372552,0.00083360102072893,0.0009965622270718061,0.0009231490621373553,0.0008511110584321956
1.135,0.0009511301417089156,0.0008685020683535847,0.000837289521531399,0.0010009718112991303,0.0009272337928807258,0.0008548770374641742
1.1400000000000001,0.0009553201467071081,0.0008723280708584369,0.0008409780223649279,0.0010053813961545784,0.0009313185236409375,0.0008586430165349068
1.145,0.0009595101518815233,0.0008761540734550544,0.0008446665232307186,0.0010097909816583431,0.0009354032544186528,0.0008624089956458727
1.1500000000000001,0.0009637001572383746,0.0008799800761467994,0.0008483550241300202,0.0010142005678312682,0.0009394879852145607,0.0008661749747986086
1.155,0.0009678901627840939,0.0008838060789371568,0.0008520435250641294,0.0010186101546948655,0.0009435727160293765,0.0008699409539947094
1.16,0.0009720801685253404,0.000887632081829739,0.0008557320260343934,0.0010230197422713403,0.0009476574468638443,0.0008737069332358308
1.165,0.0009762701744690078,0.0008914580848282917,0.000859420527042212,0.0010274293305836105,0.0009517421777187373,0.0008774729125236923
1.17,0.0009804601806222327,0.0008952840879366964,0.0008631090280890382,0.0010318389196553313,0.0009558269085948589,0.0008812388918600781
1.175,0.0009846501869924043,0.0008991100911589781,0.0008667975291763824,0.0010362485095109185,0.0009599116394930446,0.0008850048712468416
1.18,0.0009888401935871703,0.0009029360944993082,0.0008704860303058123,0.0010406581001755721,0.0009639963704141621,0.0008887708506859061
1.185,0.0009930302004144504,0.000906762097962012,0.0008741745314789571,0.0010450676916753038,0.0009680811013591137,0.0008925368301792691
1.19,0.0009972202074824417,0.0009105881015515721,0.000877863032697509,0.0010494772840369598,0.0009721658323288371,0.0008963028097290033
1.195,0.0010014102147996317,0.0009144141052726362,0.000881551533963225,0.0010538868772882507,0.0009762505633243071,0.000900068789337262
1.2,0.0010056002223748058,0.0009182401091300218,0.000885240035277931,0.0010582964714577765,0.0009803352943465362,0.0009038347690062793
1.205,0.0010097902302170603,0.0009220661131287234,0.0008889285366435231,0.0010627060665750587,0.0009844200253965778,0.0009076007487383757
1.21,0.0010139802383358114,0.0009258921172739177,0.0008926170380619706,0.001067115662670566,0.0009885047564755253,0.0009113667285359595
1.215,0.001018170246740808,0.0009297181215709718,0.0008963055395353199,0.001071525259775748,0.0009925894875845165,0.0009151327084015316
1.22,0.0010223602554421418,0.0009335441260254488,0.0008999940410656951,0.001075934857923064,0.0009966742187247331,0.000918898688337688
1.225,0.0010265502644502614,0.0009373701306431162,0.0009036825426553041,0.0010803444571460185,0.0010007589498974038,0.0009226646683471239
1.23,0.001030740273775983,0.0009411961354299523,0.0009073710443064394,0.0010847540574791918,0.0010048436811038056,0.0009264306484326375
1.235,0.0010349302834305046,0.0009450221403921547,0.0009110595460214822,0.0010891636589582766,0.001008928412345265,0.0009301966285971338
1.24,0.0010391202934254182,0.000948848145536148,0.0009147480478029061,0.001093573261620112,0.0010130131436231612,0.0009339626088436286
1.245,0.001043310303772726,0.0009526741508685921,0.0009184365496532808,0.001097982865502724,0.0010170978749389286,0.0009377285891752533
1.25,0.0010475003144848516,0.0009565001563963906,0.0009221250515752744,0.001102392470645358,0.0010211826062940562,0.0009414945695952583
1.2550000000000001,0.0010516903255746583,0.0009603261621267011,0.0009258135535716596,0.001106802077088523,0.0010252673376900934,0.0009452605501070185
1.26,0.0010558803370554612,0.0009641521680669418,0.0009295020556453152,0.0011112116848740299,0.0010293520691286486,0.0009490265307140373
1.2650000000000001,0.0010600703489410464,0.000967978174224804,0.0009331905577992322,0.0011156212940450338,0.0010334368006113953,0.0009527925114199527
1.27,0.0010642603612456855,0.0009718041806082603,0.0009368790600365172,0.0011200309046460767,0.001037521532140072,0.0009565584922285403
1.2750000000000001,0.001068450373984153,0.0009756301872255751,0.0009405675623603969,0.0011244405167231335,0.0010416062637164858,0.0009603244731437213
1.28,0.0010726403871717442,0.000979456194085316,0.0009442560647742229,0.0011288501303236562,0.0010456909953425145,0.0009640904541695651
